,numero di foto di buongiorno,numero di like per foto,numero di commenti per foto,boomer
0,89.31423384229456,16.832502812954377,20.466696701247514,1
1,65.41467134467426,13.759443562787606,20.625655049738743,1
2,28.68573452784193,17.856653498676902,32.534686783329875,1
3,51.31641876314299,22.663567891923492,14.803319429477146,1
4,64.7123937080262,10.279355203402911,22.601984974194973,1
5,65.17373828875101,22.80003865101785,25.230101541327727,1
6,75.94714824029835,18.69221406454077,31.060180472417365,1
7,92.71811272703437,23.65677089921455,32.76149892491799,1
8,53.21169813081581,10.99428017179492,29.494032193875913,1
9,92.50374017466513,13.509752210292978,30.052284134330645,1
10,61.96113164757924,16.579341541303457,32.49569896838333,1
11,66.20298662247784,23.377471595206586,29.43175248846677,1
12,47.00435122707725,12.920899762637976,15.275981122658235,1
13,53.46255250712565,6.403163097579943,34.60920641885292,1
14,59.84968640552529,20.593742567709203,21.88994938231979,1
15,54.00745333721443,11.447403882564373,29.37637048470227,1
16,64.54628020856919,25.29698738455992,26.737990342458122,1
17,48.82419659816953,21.548412244925892,28.551009398279437,1
18,70.44980513708836,9.252066629751397,32.61877855902612,1
19,44.751995330183185,29.854876732085994,21.547356314520137,1
20,59.92140736398563,22.172731994905767,16.676921721885602,1
21,66.45933781165596,12.293093350285268,23.083780341501246,1
22,50.59969229392413,12.615080162463341,18.589627430699558,1
23,55.006197885162834,11.40581696490181,33.28554803515417,1
24,41.85408886566533,12.17371964481415,32.51039910499972,1
25,49.34473185316599,18.45712346943997,31.583557663486886,1
26,95.79261809711474,11.208277163423983,26.06132135530491,1
27,51.51078247772621,17.926829034329778,21.974500217273544,1
28,69.2644591815853,18.762527439915228,19.983649544403228,1
29,69.55680565678101,18.986220871747342,36.57825201889155,1
30,27.405649974525623,23.729178106218068,22.570015250315674,1
31,85.88759759376626,11.984202885261825,32.11658325919033,1
32,44.336947918210186,23.144582425297543,16.637955235926064,1
33,41.50845177867694,8.827998226757515,19.68640852666209,1
34,64.11892317027255,6.883392528528724,28.346385404532974,1
35,37.239422972946315,24.490518937375107,26.182654255405012,1
36,98.35955995605286,23.65335931127617,29.737697883384833,1
37,41.56357780493067,27.18550622455053,20.584238481912607,1
38,77.43425219818116,13.000375464430205,23.008375950020792,1
39,79.04091230566256,0.7170964458136346,9.913858137134115,1
40,76.25602106651418,8.848639694280834,29.025485468657685,1
41,61.83610710610892,4.311382945785885,29.221312733598005,1
42,64.66809591774091,15.766801440302263,25.199445324366668,1
43,60.468554855350725,12.7363860177631,33.70960511915656,1
44,62.516194421213996,12.782766174531353,17.83352840653003,1
45,46.84062659728552,25.529710577767418,17.082765233901775,1
46,83.05986521736264,17.061798599052395,24.17762449060931,1
47,79.78323558604252,13.681645414584871,25.50631014258153,1
48,66.99259990509098,20.971176340494445,21.320969063421153,1
49,26.37711766940867,25.876809158616133,29.566939069368612,1
50,51.80583891854181,29.849881307900517,24.041801143848918,1
51,65.7780055799373,0.4029556289528635,24.383042125668698,1
